text,label
"loving the comments on my tweet, particularly the aggressive ones. clearly, western leftists are now experienced arabic linguists! so let’s agree on something: inshallah biden wins or inshallah trump wins? perhaps @USER can respond? #debates2020",None
"@USER the #gop has been trying to do this for decades. the government has taken funds from it to pay for whatever. 
it is not their piggyback to use.",None
if after watching the debate you still are voting for trump... wow,Favor
"@USER remember back when you said ‘listen to the experts’ ?

no?
yeah, figures now that it doesn’t fit the new democrat agenda i guess 🤷🏻‍♂️

#usps #fauci #vote2020 #trump2020 HTTP",Against
"""trump’s executive action may be too little, too late, especially if people...do not similarly fight back against this movement"" #fightbackamerica #trumpwarriors #kag wake up &amp; fight!! stop looking to govt to do it for you! 
HTTP",Against
y’all drop your @ and let’s help each other grow! i follow everyone back!! #maga #backtheblue,None
"@USER @USER @USER ........ &amp; don't let him cancel your dinner plans anymore either! open the economy! demand voter id! biden wins landslide!

#nevertrump

#biden2020landslide",Favor
"#nba ratings crash continues, lakers big win least-watched game of series HTTP",None
@USER he never had a lead in texas...  except  for the same lead as crooked hillary in your liberal fantasy polls! #trump2020,Against
@USER @USER @USER @USER oh please @USER will chew him up and spit him out and we all know it. 🇺🇸🇺🇸🇺🇸 #trump2020,Against
@USER @USER is a racist - shame on you bigot! #trump2020,None
all i got to say is biden and trump both need lip injections,None
@USER welcome to the family!  wise choice!  #trump2020 let us save our country from the self-destructive &amp; ever angry hateful empty democrats. HTTP,Against
"#gop donald trump knows his reelection chances are in trouble, so he's trying to confuse americans &amp; erode trust in our elections. he’s losing to joe biden, according to almost every poll. so he's trying to sow discord &amp; confusion about the election.

HTTP",Favor
@USER yay #trump2020 again,Against
"hillary is every bit the white supremacist republican
joe biden is. joe clearly not being as competent a candidate  is re-enraging shitlibs vs the left.",Against
"@USER it's so weird, once in a while he sounds lucid. anyway....#biden2020",Favor
"@USER and somehow, my bet is that the msm “journalists” out there, along with the dems, are quite gleeful about this.
#trump2020",None
"@USER well, i guess then we won't have to worry about his ""re-election"" wants/hopes &amp; desires after we re-elect him in november.

it'll just be full steam ahead agenda to move this country forward...

#trump2020 
#pence2024 
#trump2028 
#trump2032 

your world will be a nightmare...",Against
"@USER @USER then why don’t democrats come out and denounce all this violence?
#seattleriots #democrats #blmterrorists #blm #antifadomesticterrorists #antifa #trump #trump2020 #maga #maga2020 #election2020 #lawandorder #usa",Against
"@USER maybe if you dems hadn’t wasted so much $ in the 1st bill  like for the arts - what did that have 2do w a pandemic-employees were laid off wo a dime, maybe there’d b$ for the kids you are now so concerned about. @USER 🇺🇸🇺🇸🇺🇸🇺🇸 #trump2020",Against
@USER followed you. please follow me back #resist  #fbr  #voteblue2020  #bidencalm,Favor
president trump and biden prepare for a debate that could turn personal HTTP,Favor
"@USER #rnc2020 is going to be lit @USER ! we will hear about a 3 year record of accomplishment by the #potus @USER as opposed to a canned speech that avoids the ""void"" of 47 years of nothing under #hidenbiden",Against
"@USER idgaf who he picks. i'm voting blue, no matter who. 

we must get this fucking maniac out of our white house.

#votebluenomatterwho 
#ettd",Favor
"@USER @USER every time trump is in front of a microphone his mental ability should be called into question. he in incoherent, inept and incompetent. i feel much safer with biden as president than the unethical, corrupt fool we have now. #biden2020",Favor
#demdebate i’d rather stick pins in my eyes than watch,None
"so all the candidates support 'the process', meaning: a superdelegate override of bernie's plurality. pretty pathetic. #demdebate",None
"@USER can't wait to see you breakdown screaming when trump hands bidens ass to him
#trump2020",Against
"djia is at 93.9% of all time high, despite #democratstheenemywithin trying to tube the economy!!  #trump2020 defeats impact of #covid_19 !  live with it!  vote @USER dum @USER  go with @USER @USER",Against
"@USER awful and shocking. trump ignored all rules, could not show any self restraint or decency. i expected him to be shameless and vicious (to the point i wasn’t sure i’d watch) and he was still much more cruel than i could imagine. we must vote this tyrant out",Favor
@USER we are with you alllll the way! #trump2020,Against
@USER a former president who wasn’t impeached and who won the nobel (not “noble”) prize. jealous much? #obamawasbetterateverything  #votebluetosaveamerica,Favor
"@USER @USER @USER @USER c’mon man, all the dem leaders have been in office for decades and accomplished very little.  trump outperformed them all in 3.5 years.  #maga",Against
"@USER @USER americans must vote out the following people from their respective offices:
susan collins
mitch mcconnell
lindsey graham 
donald trump 

who else should be voted out office?

#votebluetosaveamerica",Favor
"i mean, even this prayer is a bit crazy. #rncconvention2020 #rnc2020",None
"@USER yes, @USER. move, rather than actually protecting your home and solving a frigging problem. #coward #compliance #antifa #blm #maga #trump2020",Against
@USER oh please... how about releasing your taxes! #dumptrumperdinck #dumptrump2020 #dumptrump #releaseyourtaxestrump #trumpisaliar #trumptaxreturns #trumpcrimefamily #trumpisafake #trumpisaphony #trumpisfake #phonytrump,Favor
kamala. hillary. barack. today is going to be 🔥🔥🔥🙌🏽🙌🏽🙌🏽 #demconvention #dnc #democraticnationalconvention #bidenharris #bidenharris2020 #joebiden #kamalaharris #kamaladay #vote HTTP,Favor
"well, if #trump is taking the lead /micromanaging #rnc2020 , it should be pretty childish.  HTTP",None
#backtoschool2020 today in florida! #trumpcountry #trump2020 #godblessamerica HTTP,Against
@USER @USER is right.  so why are you still a @USER  in disguise?  #maga #trump2020landside #keepamericagreat,Against
y’all nothing has really happened yet but biden has that fresh cut ok king,Favor
"@USER what is with the #gopcowards wanting to withhold money from states? stop creating bullshit legislation, that you know has no merit. #votebluetosaveamerica",Favor
"the u.s. government is now deciding what you can put on your iphone. it won’t stop with #tiktok
#governmentoverreach #votetrumpout #votebluenomatterwho #votebiden #voteblueasifyourlifedependedonit #putinpuppet #bluewave2020
 HTTP",Favor
"@USER @USER my dream ticket was and will always be warren/castro. 

here is hoping for warren as senate majority leader and castro on the ticket in 2024. 

#progressives #voteblue",None
to all the pundits on my tv talking about how the convention was light on policy specifics: that's what the debates are for. i cannot wait to see joe biden and kamala harris go toe to toe with trump and pence on policy. bring it! #demconvention,Favor
"@USER @USER @USER @USER @USER can't refute any of what i wrote, eh?

#maga murderous authoritarians gaslighting america!",None
"i miss having a president that speaks eloquently. that has empathy and hope for a better tomorrow. fortunately, we will soon  have that again with #bidenharris2020. 

#demconvention",Favor
his tactic is clear. don't let biden get a coherent message across. #debates2020,None
"#americawakeup antifa is using the black community for their own gains as a shield, they don't care about you, your family, or your future.  watch this video, it's extremely well put. #maga

HTTP",Against
"@USER @USER @USER @USER @USER good paying energy jobs will be eliminated under biden.  he wants to end fracking, and cars.  there isn't any technology to replace cheap and plentiful oil.",Against
"@USER @USER @USER @USER this guy is excused. he earned the right to do whatever the f*** he wants.
#veteransfortrump 
#trump2020 HTTP",Against
@USER really? anyone with a functional brain can see biden would be worse than obama,Against
"@USER @USER and #joebiden would reach 
down to the bully he just decked to offer a hand up and offer to shake as a gesture of peace. reset. new start.",Favor
"@USER @USER @USER @USER @USER or these, so many great, strong, honorable, first nation (native) leaders. lets build  their monuments and name forts and bases for them instead of racist trash. make america proud again! #votebluetosaveamerica   #biden2020 HTTP",Favor
"bernie's answer on whether he'd pick a woman as vp... was a word salad that basically meant ""no."" #demdebate",None
"@USER @USER trump is good at personal attacks and name-calling already, no prep is needed. trump is a master of lies and good at creating fear. he’ll be rude and disrespectful because he doesn’t have anything valid/worthwhile to say. i just hope biden doesn’t lose his cool.",Favor
biden vs trump. off,None
"🔹dnc: america's promise🔹

🔴 live now: @USER is joined on stage by @USER, @USER, &amp; @USER.

#demconvention #bidenharris
HTTP",None
@USER and people who think they are charles bronson playing vigilante. wonder if the #kenoshashooter had any ties to #qanon?,None
"@USER but 'how' was #joebiden the most #corrupt #vp in #history?  since 2016 we have seen this same type of 'simple' statement 'repeated' against #trump to the point that they become #fact...as an #independent #voter i need details🙄
HTTP",None
@USER @USER go to his website or listen to the speech he just made to the auto workers union. his plans will help us all #votebluetosaveamerica,Favor
@USER @USER that’s why the government lets poor people live for free in the utopian democrat run cities of light!  👍#trump2020,Against
st vincent and the grenadines!!! woooohooo!!!! #demconvention #democraticconvention #flapol #floridaprimary,None
"@USER asks @USER why he said a woman couldn't be elected. he denies and says why he wouldn't have. instead of asking @USER to rebut, they asked ""how did you feel when he said that?"" they're effectively bussing bernie when no one knows. #fuckcnn #democraticdebate",None
trump criticized obama and biden on a problem he had not fixed himself. the fires of cali,None
@USER even the 200k dead i think biden will mismanage our medical system. the number wouldn’t be as high but i think one of the biggest pieces for covid deaths is affordable access to healthcare and biden’s got no effective plan for that really,Against
"@USER @USER @USER @USER @USER @USER yes he is! that will change nov 3, though.
#votebluetosaveamerica",Favor
"@USER @USER president trump is the patriotic vote of iran and a way to overthrow the terrorist mullahs' regime
you have my vote presindet trump.  #trump2020 #iranianssupporttrump",Against
"@USER you need to do your job for safety of america, denounce violence! violence on video are #trump2020 supporters! can you be a leader &amp; stop calling &amp; inspiring your “militia”? #blm #congress pass #policeaccountability #blacklivesmatter stop the violence trump HTTP",None
"@USER show your taxes, criminal drumpf 

too scared and cowardly......yes we know

#votebluetosaveamerica",Favor
1984 us election walter mondale was the #democratic nominee from minnesota. he took a female running mate geraldine page?? the only state he won was minesotta.  regan won d other 49,None
the biden for president campaign is celebrating it’s one year anniversary by encouraging community service #2020election HTTP,Favor
@USER @USER @USER yeah the morons who have been in office for the last 30-40 years have done such a great job managing social security— hmmm do you know any people who have been in office that long?  #trump #trump2020 #trumplandslide2020,Against
"@USER @USER republicans offered a 1 week extention, a political plan with the sole intent to have dems reject and appear uncooperative. fat ass @USER ‘s cheap tactics will backfire and republicans @USER in dc will be leaving washington with him. #biden2020 #executiveorder",Favor
@USER according to #dementiajoe one third of americans already died from the #coronavirus 😂😂😂 fools like you creeoy joe should stay indoors because you’re making a fool of yourself. vote #trump2020 #kag2020 @USER HTTP,Against
@USER expose this. if you #goggle HTTP,Against
"#maga i am keeping track of @USER 
following count she was at 45 now 47 after i tweeted. every follow you give her i will donate into trumps campaign 1 follow = 1 dollar. i owe 2$ so far into trumps campaign.",Against
"@USER @USER it means that biden will be topped up and plugged in, is what it means.",Against
@USER #demdebate hasn’t like every question been for pete? can you maybe be as unbiased as you preach?,None
@USER from your lips to god’s ears. #votebluetoendthisnightmare #voteblue2020,Favor
"the nation watched last night as joe biden managed for the most part to not fall asleep, completely lose his train of thought or declare that millions of americans have died from coronavirus. HTTP",Against
"enjoying all the republicans crapping on trump right now 
#dnc2020 #dncconvention",None
"joe biden could drop his pants on 5th avenue , deficate and i'm still voting biden 2020",Favor
@USER @USER @USER the fringe-right #maga crowd is in full frantic mode with their disinformation campaign of just flat out lies and deliberately misleading narratives. that should tell the american people one thing: they know that the truth won't help trump beat biden. all they have left is lies.,Favor
"@USER @USER #maga embraces this lack of logic. they love violence as much as they love trump. maybe more! trump’s determined to kill as many of us as it takes to win.

do any of us even have guns? seems we may need them.",None
"i support trump because....
1.  i stand by our constitution.
2. i stand by african americans.
3. i stand by our military and police.
4. i stand by freedom.
and last but not least....
5. i abhore child abuse! 
#trump2020 #draintheswamp 
#wwg1wga",Against
"elizabeth warren has announced 6 ""first things i'll do when i'm elected president"" tonight #demdebate HTTP",None
bloomberg is speaking the truth - i would never re-hire someone with donald’s record over the past four years. america shouldn’t either. #demconvention #dncconvention2020 #bloomberg #votebidenharris2020,Favor
biden next to bernie🤢🤢🤢biden next to trump😏😏😏,None
@USER good try sleepy joe.. it’s the radical leftist which is your party! #trumppence2020 #democratsareevil #democratsaredestroyingamerica #redwave2020 #trumplovesamerica #democratshateamerica #trump2020 ♥️🤍💙,Against
"@USER their plan doesn’t even include biden. he is their trojan horse, and they’re not even trying to hide it anymore!",Against
"@USER you put your re-election in jepardy with your support of #redflaglaws, #statue removal, &amp; being a cuckservative for israel's #endlesswars. #obama just saw blood in the water. #maga ##kag",None
"pennsylvania - vp pence and his personal attachment to police.  67 violent days in portland. operation legend. 
HTTP
#vppence #trump2024 #kag2020 #operationlegend #lawenforcement #joebiden",None
a powerful uplifting video  of black americans perfectly describing their support for president trump and defining blm. outstanding young men. #trump2020 HTTP,Against
y'all saw this dude speaking at #rnc2020? i was almost inspired by his story! HTTP,None
"without trump as a counterweight, wondering if this and other debates would be more civil? feels like trump’s anger has leeched across the aisle. and that is something the democratic party must own. not trump #demdebate HTTP",None
"@USER trump is not fit to lead, and last night put the nail into the coffin of his failed presidency",Favor
"@USER a career politician like @USER talking about ""too many lies.""  lol   that's rich.

#walkaway 
#trump2020",Against
a person’s policies and ability to implement them are more important than any gender or marginalized identity. i want women and lgbtq+ people and black and brown people leading but only if they have good politics and values. #demdebate,None
".@USER flatly rejected the accusation that he told @USER in 2018 a woman could not be elected president. 

""how could anybody in a million years not believe that a woman could become president of the united states?""

HTTP

#demdebate",None
after last night’s #masen debate and tonight’s #demdebate i couldn’t be  prouder of @USER and @USER HTTP,None
@USER @USER @USER @USER i would absolutely get in. #trump2020,None
"interesting that the fake media obly now starts to call for an end to the  riots because they know it's hurting democrats &amp; all of his sudden the governor of wisconsin requests help from pres trump
 it's just politics to them
#maga
#keepamericagreat 
#trump2020 
#rnc2020",Against
and your wages will be even lower. #demdebate,None
"when your country’s medical system is so amazing that you will lock someone up in a callous dingy ward for contemplating suicide then let them out in time to give them a bankrupting amount of debt while they’re still vulnerable.
#maga
#healthcareforall HTTP",None
"@USER @USER so hogan, does this mean trump will stop fighting to eliminate pre-existing condition protection in court? i didn't think so. trump/gop need to go for the sake of america. #voteblue",Favor
@USER you are delusional ! #trump2020,Against
"democrats supporting bloomberg practically have the receipts tattooed on their foreheads.

#paidinfull #bloomberg #demdebate #democraticdebate #democrats",None
@USER glad he has nothing more pressing to attend to  ... we need a chief executive and team who will work hard on behalf of the american people - not one who tweets and tvs all day. so #wewillvote and we will #voteblue from the top to the bottom of the ballot! #bidenharris2020,Favor
"@USER ur the last person who believes in prayer. the art of the deception.

🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
god bless america

drain the swamp
dump @USER

so help us god!
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸

#dsdt2020 #maga2020
#kag2020 #bebest #unhinged #2020election #americafirst #berniesurge #coronavirus",Against
"listen to joe: free healthcare, universal childcare, bailing out working class citizens.

it's amazing that it takes a global pandemic to get moderates to embrace progressive policies. #demdebate",Favor
on another note biden is also extremely painful to listen to and did he really just call amy barrett a fine person? i can’t do this,Against
putting the words “black and brown communities” in your answer doesn’t make your policies intersectional #demdebate,None
time to petition to sue twitter for its blatant attack on conservatives #1a and its liberal brainwashing tactics on the american people.  #maga @USER @USER @USER #2a #vets @USER #draintheswamp #demoncrats,Against
@USER no thanks!  i will vote for donald j. trump!!!  #youaintblack #trump2020,Against
"@USER meanwhile, good, kind and brave police officers are endorsing #trump2020 

#bluelivesmatter #alllivesmatter 
#kungflu
#saveourchildren
#savethechildren HTTP",None
"trump better win 2020. the world depends on it.
#trump2020  #bidenharris2020 #biden",Against
@USER thank you for saying it at loud 🇺🇸✊🏻 #votebluetosaveamerica #votebidenharris2020 #votegopout,Favor
@USER don't worry @USER...they won't have cable where you're going! #votebluetosaveamerica,None
living for @USER tweets rn. savage af and i’m here for it 🙌😂 #dumptrump #bidenharris2020 HTTP,Favor
"@USER i remember writing to senator toomey about my concern about trump's racist comments against the squad leading to violence against minorities.  of course, he was silent.  and then there was el paso. this man, who activates his violent base, is a danger to our country.  #voteblue",Favor
"democrats' view on abortion - up to the point of birth, no restrictions - is so extreme that its pushing pro-life voters out of the democrat party.

from a leading pro-life democrat: democrats are ""building an army of future former democrats.""

#demdebate 
HTTP",None
"@USER stop burning building, beating up and sometime murderer people,  how about getting a job. #trump2020",Against
"biden won't fall for the flattery of dictators..... #colinpowell

#dnc2020 #demconvention #bidenharris2020",Favor
"and i'll take trump any day, honestly. 

i don't think this moved the needle. i'll say this. anyone thinking about joe biden wasn't inspired to vote for him after this. though some may have decided against trump. i think a lot more look at biden and don't see him as a replacement",Against
"@USER #rnc2020 you guys nailed it! great convention, every. single. day. tonight was the icing on the cake! best president ever! #trump2020landslidevictory",Against
someone needs to follow up on this biden/obama “brother” revelation. #demconvention #dncconvention2020,None
@USER i predict i'm voting for biden anyway.,Favor
@USER @USER what about the innocent children stolen from their parents and stuffed in dirty border cages like wild animals? what about the 100s who have gone missing ? your hypocrisy is showing. #savethechildren 🙏 #votebluetosaveamerica,Favor
@USER @USER @USER we can only hope so! #biden2020,Favor
"anybody else getting impatient? it's time to make a decision
@USER #joebiden #kamalaharris #democraticparty #democrat",Favor
i want out of this shithole usa #shitholeusa #trumpsucks #maga #kag #trump2020,None
@USER @USER @USER @USER he really gets under her skin lol. cry more nancy. 😂 #trump2020,None
@USER so don’t care what he thinks. #votebluetosaveamerica,Favor
"@USER love you right back, brother !!! ♥️🇺🇸 #trump2020 #takingbackourcountry #patriotfam #onenationundergod",Against
@USER @USER the children and future of our nation will plunge into a third world country if a democrat gets elected. #maga🇺🇸#i❤️usa,Against
@USER you and your da are aiding and a bedding. @USER please defund this city as i do not want to support #liberal policies with my money. ted you belong in jail.,None
@USER trump supporters are everywhere im following you and all other #maga #americans working people who know how trump is the best potus ever~ very active trump twitter supporters~ 🇺🇸🇺🇸🇺🇸fight against tyranny~,Against
@USER @USER to be fair he didn’t let thousands die.  he is letting hundreds of thousand die.  #maga,None
"@USER @USER i appreciate your apology, something trump has never &amp; will never do. but this election is about defeating trump. we need to unify not only the party but the country. @USER has not shown the ability to do that. @USER better progressive messenger #votebluetosaveamerica",Favor
"out of my mind. back in five minutes 
 @USER #trump2020 #covid19 #warroompandemic #blm #backtheblue #walkaway #screenwriting",None
@USER yes!!!!!!!!!  that’s exactly what’s happening. #formerliberals are now #maga2020 like myself. never would i have thought i’d say that until recently. #votebluetosaveamerica @USER,Against
"soooo @USER @USER @USER @USER @USER @USER #maga #coronavirus  has he made 🇺🇸 great 4u? has a friend, family, or a friends family member died, got/is infected lost their job or buis. &amp; now un-emp benefits? #ridenwithbiden #votebluetoendthisnightmare HTTP",Favor
"#rnc2020 is like a motivational forum with delusions, hatreds, fears, smears and lies here and there. a circus with so many clowns.",None
the cabal hates god! we muslims and christians needs to stand together! we believe in god we love peace and freedom! just like the fake news lies about our amazing president @USER  they been lying to you guys about my religion believe me we stand for peace &amp; justice #trump2020,Against
"leftists hurl racist abuse at black, naturalized rnc speakers HTTP",Against
they (democrats) are trying to crucify trump like the people crucified christ for telling the truth 🙄🤔does this means trump is god no it just means the world is crooked and wicked when a good hearted man tries to change something bad into something good #trump2020 #godbless,Against
"@USER but #georgesoros funded #blmdomesticterrorists who actually donate to @USER and his campaign is ok? burning buildings, shooting innocents, bashing people and demolishing entire cities is ok? #thesilentmajority sees your bs and is voting #trump2020 HTTP",Against
@USER @USER they were either robbed or brainwashed. #trump2020 #maga,Against
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER following all patriots #kag...thank you very much marilyn @USER 🙏🏻🇺🇸⚘⚘ HTTP,Against
"@USER @USER ""from the very first day of this administration"", you shelved your christian beliefs &amp; supported the single most corrupt #president this nation has ever seen!!!  neither #wethepeople, or the history books will ever forget...  a #democratic landscape is coming in nov., thank god!!",Favor
"i can’t believe pete is still in this race. can some one tell me why he belongs in the same room, much less on the same stage as @USER ?  #demdebate",None
"bernie isn’t even a democrat, why is he allowed to run on the d ticket?
#demdebate #democrats2020",None
@USER canceling the #2020election so trump is president for 5 more years!,Against
"we can’t have 4 more years of trump and gop rule. they will break the back of this country. 
make sure your senators and congress work for you not against you
vote blue down the ballot 
#votebluetosaveamerica 
#bidenharris 
#dems4usa HTTP",Favor
"@USER i've never been more motivated to vote in my life.  i'm also so appalled, though not surprised, at trump's behavior.  the man has no dignity, and you're totally right - look at what he says.  it tells you all you need to know about him and where his priorities lie.",Favor
@USER for the next 4 years #trump2020,Against
"@USER up, down and sideways, if need be! #vote2020 #voteblue",Favor
"@USER @USER yes !!!!! i of course i would vote for #joebiden aa our democratic nominee, but too bad we can’t vote 🗳 for #barackobama as our vice president though. just #votebluetosaveamerica HTTP",Favor
